kindergarten_id,name,address,region,min_age,max_age,capacity,num_of_teachers,open_time,close_time,phone
59,גן קן קטנטנים,משה דיין 13,רמת גן,0.3,3,40,5,07:00,17:00,
60,משפחתון חיפושית,התפוצות 40,רמת גן,0.3,3,15,3,07:00,17:00,050-719-2245
61,גן גפן,אחד העם 34,רמת גן,0.5,2.5,15,2,07:00,17:00,03-717-2472
62,גן כוכב,גרנדוס 35,רמת גן,0.3,3,20,3,07:30,16:30,03-676-1508
63,גן ורדית,עוזיאל 103,רמת גן,0.3,3,25,3,07:00,16:00,03-574-6093
64,גן חוחית,עוזיאל 103,רמת גן,0.3,3,25,4,07:00,16:00,03-574-6093
65,גן טבלן,בת שוע 9,רמת גן,0.3,3,25,5,07:00,16:30,03-574-6067
66,הגן של רמי,"החי""ל 38",רמת גן,0.4,3,20,2,07:30,16:30,050-452-5230
67,גן ניצנים,שדרות צנחנים 20,רמת גן,0.9,3,18,2,07:30,16:30,
68,גן מורן,המלאכה 14,רמת גן,0.5,2.5,22,3,07:30,16:45,
69,הגן של אילנית,אמיר 4,רמת גן,0.9,3,24,4,07:00,17:00,
70,גן תילתן,סמדר 19,רמת גן,0.3,3,18,3,07:00,17:00,
71,גן חוש חשים,השר משה 45,רמת גן,0.3,3,32,4,07:30,16:30,
72,גן הילדים של אורטלי,טרומן 29,רמת גן,0.3,3,40,6,07:30,17:00,
73,גן טינטן,בר יוחאי 11,רמת גן,0.6,1.6,26,4,07:30,17:00,03-505-4934
74,גן סנונית,הבעל שם טוב 15,רמת גן,0.6,2.5,16,2,07:30,16:45,03-574-6053
75,גן עפרוני,גבע 6,גבעתיים,0.3,3,20,3,07:30,16:30,03-571-9753
76,גן ברקן,בר יוחאי 15,רמת גן,0.3,2,25,3,07:00,17:00,03-574-6068
77,גן ניסנית,בר יוחאי 15,רמת גן,0.3,2,25,3,07:00,17:00,03-574-6068
78,גן ערבה,משמר הירדן 9,גבעתיים,0.3,3,30,6,07:30,16:45,03-540-6172
79,גן רמון,משמר הירדן 9,גבעתיים,0.3,3,30,6,07:30,16:45,03-573-0674
80,גן נטלי,חד נס 38,רמת גן,0.3,3,28,5,07:30,17:00,
81,המשפחתון של אסנת,חבר 9,רמת גן,0,3,12,2,07:30,16:30,
82,בייבי גן קרן,ארלוזרוב 75,תל אביב,0.3,3,20,4,07:30:00,16:30:00,054-815-1511
83,little steps,בן יהודה 190,תל אביב,0.3,3,26,4,07:45:00,16:00:00,054-789-7321
84,הגן של חגית,קלישר 4,הרצליה,0.6,4,70,4,07:00:00,17:00:00,09-950-3570
85,גן אמנון,טשרניחובסקי 38,הרצליה,0.6,3,36,4,07:00:00,17:00:00,09-950-3278
86,גן כמו בבית,החלוץ 22,רמת השרון,1.2,3,30,4,07:30:00,16:30:00,054-439-4918
87,גן דנה,ההגנה 69,הרצליה,0.6,3,20,3,07:00:00,17:00:00,
88,גן הדס,בר אילן 14,הרצליה,0.6,3,26,4,07:00:00,17:00:00,
89,גן בת-חן,הכורזי 6,הרצליה,0.6,3,24,4,07:00:00,17:00:00,09-956-4504
90,"מעון נעמ""ת הכוזרי",הכורזי 8,הרצליה,0.3,3,30,2,07:00:00,16:30:00,09-954-1277
91,גן עולם הילד,חנה סנש 10,הרצליה,0.6,2.9,30,3,07:00:00,17:00:00,073-758-9012
92,הגן שלנו,בן יהודה 55,הרצליה,0.9,2,20,4,07:30:00,17:00:00,
93,הגן של נאוה,בן גוריון 47,הרצליה,0.9,2,32,6,07:30:00,17:00:00,
94,גן פינוקים,רחוב א.ד גורדון 23,הרצליה,0.9,2,20,2,07:30:00,17:00:00,
95,הגן של ז'אן,הבנים 21,הרצליה,1,3,15,3,07:00:00,17:00:00,09-954-4302
96,גן חני,משה 45,הרצליה,0.9,2,10,1,07:00:00,17:00:00,09-954-4037
97,גן הבית של יעלי,אחד העם 41,הרצליה,0.5,3,45,8,07:00:00,17:00:00,073-702-7891
98,גן במבינוס הרצליה,הבנים 50,הרצליה,0.3,4,20,3,07:00:00,17:00:00,09-951-3896
99,פעוטון סיגלי,מוהליבר 16,הרצליה,0.3,2.6,10,2,08:00:00,16:00:00,052-6004913
100,גן טל,הינצנים 3,הרצליה,0.8,3.2,25,3,07:00:00,17:00:00,052-274-0863
101,גן תומר,בר כוכבא 48,הרצליה,0.8,3.2,22,2,07:00:00,17:00:00,052-440-1316
102,גן חיטים,המקובלים 38,הרצליה,1,3,28,3,07:00:00,17:00:00,09-950-0101
103,"רש""י שקד",שקד 33,תל אביב,0.6,2.8,3,1,07:00:00,16:00:00,03-5185730
104,מעון יום,חריף אייזיק 21,תל אביב,0.6,2.8,6,2,07:00:00,19:00:00,03-6587804
105,מעון יום,הרטוב 8,תל אביב,0.6,2.8,8,2,07:00:00,16:00:00,03-7300845
106,מעון יום,עירית 15,תל אביב,0.6,2.8,20,3,07:00:00,16:00:00,03-6589236
107,אמילי,כפר יונה 15,תל אביב,0.6,2.8,35,8,07:00:00,16:00:00,03-9715656
108,אמילי,גבירטיג מרדכי 5,תל אביב,0.6,2.8,20,4,07:00:00,16:00:00,03-6394870
109,מעון יום צהלה,המצביאים 28,תל אביב,0.6,2.8,18,4,07:00:00,16:00:00,03-9669904
110,הדר יוסף,קהילת בריסק 10,תל אביב,0.6,2.8,20,5,07:00:00,16:00:00,03-6968603
111,אביב TLV,החשמונאים 96,תל אביב,0.6,2.8,6,2,07:00:00,16:00:00,03-9491131
112,פשר,זינגר בשביס יצחק 7,תל אביב,0.6,2.8,25,5,07:00:00,16:00:00,03-5527127
113,בוגרשוב,בר כוכבא 26,תל אביב,,,17,4,07:00:00,16:00:00,03-6290462
114,בירנית,בירנית 4,תל אביב,0.6,2.8,29,3,07:00:00,16:00:00,03-7305861
115,בית מורצקי,חירותנו 1,תל אביב,,,32,4,07:00:00,19:00:00,03-6870555
116,בית פורג',התקוה 70,תל אביב,0.6,2.8,30,5,07:00:00,16:00:00,03-6870239
117,בית פרו,פעמונית 7,תל אביב,,,28,4,07:00:00,19:00:00,03-5061559
118,המלך ג'ורג',המלך ג'ורג' 35,תל אביב,,,20,6,07:00:00,16:00:00,03-5284230
119,המשתלה,קיפניס לוין 6,תל אביב,0.6,2.8,15,4,07:00:00,16:00:00,03-6443891
120,ויצמן,ויצמן 7,תל אביב,0.6,2.8,35,7,07:00:00,16:00:00,03-6964832
121,יד אליהו,נגבה 33,תל אביב,0.6,2.8,14,3,07:00:00,16:00:00,03-7392690
122,מגן אברהם,מגן אברהם 25,תל אביב,,,30,7,07:00:00,19:00:00,03-6817650
123,נווה חן,סלע יעקב 22,תל אביב,0.6,2.8,8,3,07:00:00,16:00:00,03-7393514
124,"נווה צה""ל",דרך ההגנה 118,תל אביב,0.6,2.8,6,2,07:00:00,16:00:00,03-7394005
125,עקיבא ברון,ברון עקיבא 8,תל אביב,0.6,2.8,8,2,07:00:00,16:00:00,03-6414825
126,פיינשטיין,פיינשטיין מאיר 20,תל אביב,0.6,2.8,20,3,07:00:00,16:00:00,03-6423660
127,קריית שלום,ליוויק 7,תל אביב,,,35,8,07:00:00,19:00:00,03-6839648
128,רמז ארלוזרוב,ארלוזורוב 95,תל אביב,0.6,2.8,20,4,07:00:00,16:00:00,03-6960437
129,רמת ישראל,דם המכבים 21,תל אביב,0.6,2.8,18,4,07:00:00,16:00:00,03-5711974
130,תכנית ל',בורלא יהודה 2,תל אביב,0.6,2.8,20,5,07:00:00,16:00:00,03-6991990
131,שפירא,ישראל מסלנט 22,תל אביב,,,6,2,07:00:00,19:00:00,03-6876692
132,"האוניברסיטה, קמפוס ברושים","וייז ג'ורג' ד""ר 1",תל אביב,,,25,5,07:00:00,16:00:00,03-7267274
133,כוכב הצפון,קובנר אבא 16,תל אביב,0.6,2.8,17,4,07:00:00,16:00:00,03-5754046
134,קטנטנים ובריאים,דפנה 7,תל אביב,,,29,3,07:00:00,16:00:00,076-8009023
135,פלורנטין,פרנקל ידידיה 17,תל אביב,0.6,2.8,32,4,07:00:00,16:00:00,03-7394005
136,ויצו,שלומציון המלכה 38,תל אביב,0.6,2.8,30,5,07:00:00,16:00:00,03-6236499
137,ויצו,סלע יעקב 22,תל אביב,0.6,2.8,28,4,07:00:00,16:00:00,03-7393514
138,"רשבי - מוסדות ע""ש התנא הקדוש",הרטוב 25,תל אביב,0.6,2.8,20,6,07:00:00,16:00:00,03-7394668
139,בבלי,ירושלמי 16,תל אביב,0.6,2.8,15,4,07:00:00,16:00:00,03-5467348
140,השלום,אריסטו 18,תל אביב,0.6,2.8,35,7,07:00:00,16:00:00,03-5062525
141,מעגלים,חוני המעגל 5,תל אביב,0.6,2.8,14,3,07:00:00,16:00:00,03-6041789
142,חיננית,חיננית 5,תל אביב,0.6,2.8,30,7,07:00:00,16:00:00,03-6582555
143,נאות אפקה,לאה גולדברג 6,תל אביב,0.6,2.8,32,4,07:00:00,16:00:00,03-6487799
144,נווה חן,סנפיר 9,תל אביב,0.6,2.8,30,5,07:00:00,16:00:00,03-7391079
145,עצמאות,ארבר מנחם 26,תל אביב,,,28,4,07:00:00,16:00:00,03-6821060
146,קרית שלום,שדרות גורי ישראל 23,תל אביב,0.6,2.8,20,6,07:00:00,16:00:00,03-6815288
147,ניצנים,פן אלכסנדר 1,תל אביב,0.6,2.8,15,4,07:00:00,16:00:00,03-6484598
148,נווה שרת,פילדלפיה 3,תל אביב,0.6,2.8,35,7,07:00:00,16:00:00,03-6492329
149,דיזנגוף,דיזנגוף 221,תל אביב,0.6,2.8,14,3,07:00:00,16:00:00,03-5441965
150,מאור עינים,מאור עינים 4,תל אביב,0.6,2.8,30,7,07:00:00,16:00:00,03-9014794
151,גולדה,ברלין אליהו 4,תל אביב,0.6,2.8,6,2,07:00:00,16:00:00,03-6826616
152,נעמת,בן סירא 4,תל אביב,0.6,2.8,25,5,07:00:00,16:00:00,03-6162976
153,הברושים,לובטקין צביה 15,תל אביב,0.6,2.8,17,4,07:00:00,16:00:00,03-7394846
154,גן אגוז ,זרובבל 3,רמת השרון,3,4,21,3,07:30,15:30,03-7602145
155,גן תמר,זרובבל 3,רמת השרון,5,6,26,3,07:30,15:30,03-7602145
156,גן זית,זרובבל 3,רמת השרון,4,5,18,2,07:30,15:30,03-7602145
157,גן אמנון ותמר,הרב קוק 43,רמת השרון,4,6,35,4,07:30,16:30,03-5406211
158,גן הרדוך,הנוטע 4,רמת השרון,3,4,35,7,07:30,16:30,
159,גן דובדבן,הפרחים 4,רמת השרון,4,6,33,6,07:30,16:30,03-6419364
160,גן חרצית,השופטים 56,רמת השרון,3,5,23,5,07:30,16:30,03-5258230
161,גן כרכום,אברבוך 14,רמת השרון,4,6,24,4,07:30,16:30,03-5490215
162,גן ניצן,הירדן 25,רמת השרון,4,6,32,6,07:30,16:30,03-5405316
163,גן נרקיס,מוהליבר 1,רמת השרון,5,6,28,4,07:30,14:00,03-5186888
164,גן ענבר,הראשונים 14,רמת השרון,4,5,30,5,07:30,16:30,
165,גן ספיר,המלאכה 16,רמת השרון,3,4,17,3,07:30,16:30,03-5497463
166,גן פשוש,"הפלמ""ח 8",רמת השרון,5,6,20,3,07:30,16:30,03-5175932
167,גן צבעוני,אברבוך 14,רמת השרון,4,6,23,4,07:30,14:00,03-5474890
168,גן צבר,רות 6,רמת השרון,5,6,26,4,07:30,14:00,03-5408152
169,גן רותם,לילך 3,רמת השרון,4,6,23,3,07:30,14:00,03-5497234
170,גן תות,הפרחים 4,רמת השרון,4,6,32,5,07:30,16:30,03-6496028
171,גן איריס,הסייפן 37,רמת השרון,3,4,24,3,07:30,14:00,03-5497450
172,גן אשל,אברהם 1,רמת השרון,3,4,21,3,07:30,14:00,03-5406221
173,גן דפנה,עזרא 52,רמת השרון,3,4,34,4,07:30,14:00,03-6885419
174,גן דקלים,יצחק שדה 54,רמת השרון,4,6,26,3,07:30,14:00,03-5477180
175,גן חרצית,השופטים 56,רמת השרון,3,5,30,4,07:30,15:30,03-5258230
176,גן חצב,הנוטע 3,רמת השרון,4,6,30,5,07:30,16:30,03-5408113
177,גן דרור,"הפלמ""ח 8",רמת השרון,3,4,28,3,07:30,14:00,03-5175952
